20/10/2018;america-mg;gremio;empate;1,1;R$ 45.085,00;4511
20/10/2018;sao-paulo;atletico-pr;empate;0,0;R$ 495.527,00;13053
20/10/2018;sport;vasco;sport;2,1;R$ 86.355,00;8035
21/10/2018;vitoria;corinthians;empate;2,2;R$ 188.897,00;17982
21/10/2018;fluminense;atletico-mg;fluminense;1,0;R$ 81.545,00;4404
21/10/2018;palmeiras;ceara;palmeiras;2,1;R$ 1.178.690,00;33355
21/10/2018;parana;flamengo;flamengo;0,4;R$ 269.185,00;4271
21/10/2018;cruzeiro;chapecoense;cruzeiro;3,0;R$ 163.169,00;8251
22/10/2018;internacional;santos;empate;2,2;R$ 1.082.715,00;37523
26/10/2018;vitoria;sao-paulo;sao-paulo;0,1;R$ 122.074,00;11283
26/10/2018;vasco;internacional;empate;1,1;R$ 262.320,00;8301
27/10/2018;gremio;sport;sport;3,4;R$ 329.685,00;12165
27/10/2018;santos;fluminense;santos;3,0;R$ 165.563,50;8680
27/10/2018;flamengo;palmeiras;empate;1,1;R$ 1.452.823,00;58613
27/10/2018;chapecoense;america-mg;chapecoense;1,0;R$ 217.270,00;12638
27/10/2018;corinthians;bahia;corinthians;2,1;R$ 1.116.596,50;35382
27/10/2018;cruzeiro;parana;cruzeiro;3,1;R$ 104.923,00;6377
27/10/2018;atletico-pr;botafogo;atletico-pr;2,1;R$ 132.970,00;7133
29/10/2018;ceara;atletico-mg;ceara;2,1;R$ 477.896,00;36627
03/11/2018;atletico-mg;gremio;gremio;0,1;R$ 143.816,00;14873
03/11/2018;fluminense;vasco;vasco;0,1;R$ 343.255,00;12728
03/11/2018;palmeiras;santos;palmeiras;3,2;R$ 2.723.126,86;38938
04/11/2018;sao-paulo;flamengo;empate;2,2;R$ 1.109.117,00;32612
04/11/2018;parana;vitoria;empate;1,1;R$ 15.030,00;931
04/11/2018;america-mg;cruzeiro;cruzeiro;1,2;R$ 98.805,00;8056
04/11/2018;botafogo;corinthians;botafogo;1,0;R$ 195.995,00;19994
04/11/2018;bahia;chapecoense;bahia;1,0;R$ 294.869,00 ;17448
04/11/2018;internacional;atletico-pr;internacional;2,1;R$ 741.820,00;28332
05/11/2018;sport;ceara;sport;1,0;R$ 265.185,00;16203
10/11/2018;america-mg;parana;parana;0,1;R$ 31.835,00 ;3692
10/11/2018;corinthians;sao-paulo;empate;1,1;R$ 1.911.492,99;42845
10/11/2018;botafogo;flamengo;botafogo;2,1;R$ 169.885,00;18276
10/11/2018;atletico-pr;cruzeiro;atletico-pr;2,0;R$ 174.170,00;7720
11/11/2018;vitoria;bahia;empate;2,2;R$ 190.868,00;21714
11/11/2018;gremio;vasco;gremio;2,1;R$ 666.258,00;20763
11/11/2018;atletico-mg;palmeiras;empate;1,1;R$ 222.650,00;18717
11/11/2018;ceara;internacional;empate;1,1;R$ 739.883,00;42149
11/11/2018;fluminense;sport;empate;0,0;R$ 85.355,00;11630
12/11/2018;santos;chapecoense;chapecoense;0,1;R$ 334.014,50;10792
14/11/2018;vasco;atletico-pr;empate;1,1;R$ 306.340,00;20212
14/11/2018;bahia;ceara;bahia;2,1;R$ 328.821,00;17884
14/11/2018;parana;atletico-mg;atletico-mg;0,1;R$ 22.940,00;1140
14/11/2018;sport;vitoria;empate;0,0;R$ 214.425,00;14475
14/11/2018;palmeiras;fluminense;palmeiras;3,0;R$ 2.480.931,96;37430
14/11/2018;cruzeiro;corinthians;cruzeiro;1,0;R$ 128.669,00;8151
15/11/2018;flamengo;santos;flamengo;1,0;R$ 1.136.024,00;43547
15/11/2018;chapecoense;botafogo;botafogo;0,1;R$ 255.850,00;16593
15/11/2018;sao-paulo;gremio;empate;1,1;R$ 759.161,00;24757
15/11/2018;internacional;america-mg;internacional;2,0;R$ 654.065,00;25654
17/11/2018;vitoria;atletico-pr;atletico-pr;1,2;R$ 61.140,00;8440
17/11/2018;corinthians;vasco;corinthians;1,0;R$ 1.350.667,50;38605
17/11/2018;atletico-mg;bahia;atletico-mg;1,0;R$ 112.493,00;16601
18/11/2018;sport;flamengo;flamengo;0,1;R$ 283.760,00;18548
18/11/2018;parana;palmeiras;empate;1,1;R$ 1.953.570,00;25076
18/11/2018;botafogo;internacional;botafogo;1,0;R$ 156.802,50;17373
18/11/2018;america-mg;santos;america-mg;2,1;R$ 31.955,00;2079
18/11/2018;gremio;chapecoense;gremio;2,0;R$ 394.042,00;13266
18/11/2018;sao-paulo;cruzeiro;sao-paulo;1,0;R$ 380.708,00;14058
19/11/2018;fluminense;ceara;empate;0,0;R$ 105.015,00;5945
21/11/2018;internacional;atletico-mg;atletico-mg;1,2;R$ 510.090,00;22299
21/11/2018;santos;botafogo;empate;1,1;R$ 64.715,50;3620
21/11/2018;flamengo;gremio;flamengo;2,0;R$ 701.361,00;33932
21/11/2018;cruzeiro;vitoria;cruzeiro;3,0;R$ 21.781,00;1914
21/11/2018;atletico-pr;corinthians;atletico-pr;1,0;R$ 422.925,00;14390
21/11/2018;palmeiras;america-mg;palmeiras;4,0;R$ 2.615.582,46;39429
22/11/2018;vasco;sao-paulo;vasco;2,0;R$ 354.345,00;14426
